#group,false,false,true,true,true,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,location
,,0,2023-02-20T13:27:05.046873851Z,2023-02-21T13:27:05.046873851Z,2023-02-21T00:00:00.000000000Z,149.35,euros,cout_electricite,France
,,0,2023-02-20T13:27:05.046873851Z,2023-02-21T13:27:05.046873851Z,2023-02-21T01:00:00.046873851Z,145.51,euros,cout_electricite,France
,,0,2023-02-20T13:27:05.046873851Z,2023-02-21T13:27:05.046873851Z,2023-02-21T02:00:00.046873851Z,157.54,euros,cout_electricite,France
,,0,2023-02-20T13:27:05.046873851Z,2023-02-21T13:27:05.046873851Z,2023-02-21T03:00:00.046873851Z,138.52,euros,cout_electricite,France
